,glucose,glycerol,oleic_acid
growth_rate,0.26629762689375575,0.35804107739258173,0.2605550157069722
growth_rate_std,0.0030478683228920217,0.00086146858877256,0.012321487648807482
yield_coefficient,0.11043302549731783,0.05860978091266819,0.302
yield_coefficient_std,0.003912857196056479,0.009652990154150623,0.07
substrate_uptake_rate,2.4143620589406654,6.26659043317085,0.8627649526720934
substrate_uptake_rate_std,0.08870416542504479,0.959634261366912,0.20409816918638934
